date,project,entry_title,entry_file
2025-05-04,kbay_habitat_mapping,Initial Log,~Documents/git/kbay_habitat_mapping/lab-notebook//index.qmd
2025-05-04,kbay_benthic_survey,Initial Log,~Documents/git/kbay_benthic_survey/lab-notebook//index.qmd
2025-05-04,kbay_dropcam,Initial Log,~Documents/git/kbay_dropcam/lab-notebook//index.qmd
2025-05-04,kbay_filterfeeders,Initial Log,~Documents/git/kbay_filterfeeders/lab-notebook//index.qmd
2025-05-04,kbay_SAV-HSI_model,Initial Log,~Documents/git/kbay_SAV-HSI_model/lab-notebook//index.qmd
2025-05-04,kbay_seagrass_monitoring,Initial Log,~Documents/git/kbay_seagrass_monitoring/lab-notebook//index.qmd
2025-05-04,kbay_wrack,Initial Log,~Documents/git/kbay_wrack/lab-notebook//index.qmd
